id,hz,wood_participation,uniqueness,tag1_ratio,tag3_ratio,Q_mmr_base,selection_type
4,413.176786,0.000142,0.724396,0.000000,0.000142,0.965821,coverage_anchor
5,414.729456,0.000077,0.649060,0.000000,0.000077,0.859433,coverage_anchor
17,456.816602,0.000087,0.239241,0.000000,0.000087,0.280697,coverage_anchor
18,458.123632,0.000075,0.294060,0.000000,0.000075,0.358112,coverage_anchor
13,460.245877,0.000110,0.605702,0.000000,0.000110,0.798203,coverage_anchor
19,460.245877,0.000110,0.322765,0.000000,0.000110,0.398648,coverage_anchor
16,460.390899,0.000111,0.222902,0.000000,0.000111,0.257625,coverage_anchor
20,460.390900,0.000111,0.576408,0.000000,0.000111,0.756836,coverage_anchor
24,475.115972,0.000159,0.293841,0.000000,0.000159,0.357803,coverage_anchor
12,475.115974,0.000159,0.145760,0.000000,0.000159,0.148686,coverage_anchor
30,475.497660,0.000195,0.329779,0.000000,0.000195,0.408553,coverage_anchor
27,475.497661,0.000195,0.151385,0.000000,0.000195,0.156629,coverage_anchor
34,482.388270,0.000060,0.299945,0.000000,0.000060,0.366423,coverage_anchor
45,482.388271,0.000060,0.138151,0.000000,0.000060,0.137941,coverage_anchor
46,482.667575,0.000070,0.262935,0.000000,0.000070,0.314157,coverage_anchor
31,482.667576,0.000070,0.615354,0.000000,0.000070,0.811834,coverage_anchor
42,484.773855,0.000068,0.748600,0.000000,0.000068,1.000000,coverage_anchor
47,484.773855,0.000068,0.182649,0.000000,0.000068,0.200780,coverage_anchor
32,485.243551,0.000070,0.304343,0.000000,0.000070,0.372633,coverage_anchor
43,485.243551,0.000070,0.241908,0.000000,0.000070,0.284464,coverage_anchor
36,485.243551,0.000070,0.146411,0.000000,0.000070,0.149606,coverage_anchor
54,522.187403,0.000412,0.456164,0.000000,0.000412,0.587031,coverage_anchor
62,522.187403,0.000412,0.153431,0.000000,0.000412,0.159519,coverage_anchor
58,528.219215,0.000068,0.498873,0.000000,0.000068,0.647343,coverage_anchor
59,528.678541,0.000088,0.472587,0.000000,0.000088,0.610222,coverage_anchor
37,530.240041,0.000080,0.191963,0.000000,0.000080,0.213933,coverage_anchor
60,530.240041,0.000080,0.145087,0.000000,0.000080,0.147736,coverage_anchor
56,530.447668,0.000063,0.722081,0.000000,0.000063,0.962550,coverage_anchor
52,530.447668,0.000063,0.145510,0.000000,0.000063,0.148333,coverage_anchor
76,569.778347,0.000042,0.374693,0.000000,0.000042,0.471980,coverage_anchor
