id,hz,wood_participation,uniqueness,tag1_ratio,tag3_ratio,Q_mmr_base,selection_type
24,400.028322,0.000925,0.746469,0.000000,0.000925,0.718226,coverage_anchor
28,400.981395,0.000902,0.709475,0.000000,0.000902,0.677112,coverage_anchor
0,403.011024,0.000776,1.000000,0.000000,0.000776,1.000000,coverage_anchor
1,403.016035,0.000843,0.929474,0.000000,0.000843,0.921618,coverage_anchor
3,403.753488,0.000547,0.789049,0.000000,0.000547,0.765550,coverage_anchor
4,404.638889,0.000579,0.931555,0.000000,0.000579,0.923930,coverage_anchor
6,405.172884,0.000564,0.976441,0.000000,0.000564,0.973816,coverage_anchor
7,405.200771,0.000758,0.817299,0.000000,0.000758,0.796946,coverage_anchor
8,405.460549,0.000654,0.708453,0.000000,0.000654,0.675975,coverage_anchor
9,405.476737,0.000666,0.766514,0.000000,0.000666,0.740505,coverage_anchor
10,405.753769,0.000657,0.941384,0.000000,0.000657,0.934855,coverage_anchor
11,405.803910,0.000743,0.737607,0.000000,0.000743,0.708377,coverage_anchor
14,408.199991,0.000802,0.721598,0.000000,0.000802,0.690585,coverage_anchor
34,409.224398,0.000622,0.923337,0.000000,0.000622,0.914797,coverage_anchor
35,409.247204,0.001069,0.787504,0.000000,0.001069,0.763832,coverage_anchor
36,410.009811,0.000789,0.689699,0.000000,0.000789,0.655133,coverage_anchor
37,410.054737,0.000805,0.728420,0.000000,0.000805,0.698167,coverage_anchor
38,410.482289,0.000565,0.702202,0.000000,0.000565,0.669028,coverage_anchor
42,416.071473,0.000702,0.899462,0.000000,0.000702,0.888263,coverage_anchor
43,416.077534,0.000811,0.877049,0.000000,0.000811,0.863352,coverage_anchor
45,416.917532,0.000659,0.862538,0.000000,0.000659,0.847225,coverage_anchor
48,417.589756,0.000625,0.719027,0.000000,0.000625,0.687728,coverage_anchor
64,421.729695,0.001275,0.802846,0.000000,0.001275,0.780883,coverage_anchor
71,425.302491,0.000516,0.700841,0.000000,0.000516,0.667516,coverage_anchor
79,429.394345,0.000647,0.839023,0.000000,0.000647,0.821091,coverage_anchor
84,432.463465,0.000522,0.703087,0.000000,0.000522,0.670011,coverage_anchor
96,434.476198,0.000649,0.648934,0.000000,0.000649,0.609826,coverage_anchor
110,451.672022,0.000538,0.727465,0.000000,0.000538,0.697105,coverage_anchor
147,497.623465,0.000591,0.401318,0.000000,0.000591,0.334626,coverage_anchor
170,522.199222,0.000511,0.441360,0.000000,0.000511,0.379129,coverage_anchor
