id,hz,wood_participation,uniqueness,tag1_ratio,tag3_ratio,Q_mmr_base,selection_type
34,80.890310,0.002212,0.523465,0.000000,0.002212,0.516702,coverage_anchor
41,82.869523,0.001762,0.363479,0.000000,0.001762,0.318557,coverage_anchor
37,82.904588,0.001979,0.480812,0.000000,0.001979,0.463876,coverage_anchor
3,82.954576,0.001967,0.521231,0.000000,0.001967,0.513935,coverage_anchor
42,83.815996,0.002245,0.305641,0.000000,0.002245,0.246924,coverage_anchor
9,84.944870,0.001943,0.877910,0.000000,0.001943,0.955688,coverage_anchor
10,85.073977,0.001940,0.807489,0.000000,0.001940,0.868471,coverage_anchor
11,85.587101,0.002079,0.913688,0.000000,0.002079,1.000000,coverage_anchor
12,85.724383,0.002018,0.846225,0.000000,0.002018,0.916446,coverage_anchor
13,85.965219,0.002075,0.794577,0.000000,0.002075,0.852480,coverage_anchor
14,85.977373,0.002037,0.828357,0.000000,0.002037,0.894316,coverage_anchor
15,86.693087,0.001682,0.778654,0.000000,0.001682,0.832758,coverage_anchor
16,87.024087,0.001923,0.393756,0.000000,0.001923,0.356056,coverage_anchor
44,87.024087,0.001923,0.533600,0.000000,0.001923,0.529255,coverage_anchor
17,87.084806,0.001808,0.821477,0.000000,0.001808,0.885796,coverage_anchor
46,87.816256,0.001843,0.827116,0.000000,0.001843,0.892779,coverage_anchor
47,87.944792,0.001901,0.706074,0.000000,0.001901,0.742866,coverage_anchor
48,88.086216,0.001708,0.328696,0.000000,0.001708,0.275478,coverage_anchor
49,88.147228,0.001887,0.815406,0.000000,0.001887,0.878276,coverage_anchor
50,88.830242,0.001701,0.472587,0.000000,0.001701,0.453689,coverage_anchor
51,89.345116,0.001854,0.456690,0.000000,0.001854,0.434001,coverage_anchor
23,90.210746,0.001837,0.396817,0.000000,0.001837,0.359846,coverage_anchor
54,92.515149,0.001667,0.731843,0.000000,0.001667,0.774781,coverage_anchor
61,95.072633,0.001876,0.761420,0.000000,0.001876,0.811414,coverage_anchor
62,95.180728,0.001537,0.711572,0.000000,0.001537,0.749676,coverage_anchor
63,95.211941,0.002033,0.665254,0.000000,0.002033,0.692310,coverage_anchor
64,96.597929,0.001574,0.467757,0.000000,0.001574,0.447707,coverage_anchor
65,97.077794,0.001728,0.378958,0.000000,0.001728,0.337728,coverage_anchor
69,98.166598,0.001559,0.373734,0.000000,0.001559,0.331259,coverage_anchor
72,98.951096,0.001438,0.663568,0.000000,0.001438,0.690222,coverage_anchor
