id,hz,wood_participation,uniqueness,tag1_ratio,tag3_ratio,Q_mmr_base,selection_type
28,80.179075,0.002067,0.858518,0.000000,0.002067,0.936420,coverage_anchor
29,80.443508,0.002049,0.651486,0.000000,0.002049,0.678300,coverage_anchor
31,80.597045,0.002121,0.657682,0.000000,0.002121,0.686025,coverage_anchor
32,80.646617,0.002200,0.749404,0.000000,0.002200,0.800381,coverage_anchor
35,82.228320,0.001874,0.726169,0.000000,0.001874,0.771412,coverage_anchor
36,83.605830,0.001823,0.612640,0.000000,0.001823,0.629869,coverage_anchor
38,84.378402,0.001978,0.754619,0.000000,0.001978,0.806883,coverage_anchor
4,84.625880,0.002300,0.532132,0.000000,0.002300,0.529494,coverage_anchor
5,85.855733,0.001771,0.904361,0.000000,0.001771,0.993575,coverage_anchor
6,86.283633,0.001942,0.837085,0.000000,0.001942,0.909699,coverage_anchor
7,86.311674,0.001534,0.705305,0.000000,0.001534,0.745400,coverage_anchor
8,86.343172,0.002294,0.656564,0.000000,0.002294,0.684632,coverage_anchor
9,86.556780,0.001863,0.909514,0.000000,0.001863,1.000000,coverage_anchor
10,86.671900,0.001983,0.785653,0.000000,0.001983,0.845575,coverage_anchor
43,87.289941,0.001830,0.584031,0.000000,0.001830,0.594200,coverage_anchor
13,87.306059,0.002265,0.788100,0.000000,0.002265,0.848626,coverage_anchor
46,87.946956,0.001617,0.733896,0.000000,0.001617,0.781046,coverage_anchor
47,87.952982,0.001663,0.700416,0.000000,0.001663,0.739304,coverage_anchor
48,87.962662,0.001908,0.783594,0.000000,0.001908,0.843009,coverage_anchor
15,87.982456,0.002292,0.777699,0.000000,0.002292,0.835658,coverage_anchor
16,89.092570,0.001803,0.803626,0.000000,0.001803,0.867983,coverage_anchor
55,90.363668,0.001869,0.673096,0.000000,0.001869,0.705243,coverage_anchor
62,95.174851,0.001637,0.655742,0.000000,0.001637,0.683607,coverage_anchor
64,95.280838,0.002041,0.627965,0.000000,0.002041,0.648976,coverage_anchor
65,95.781093,0.001476,0.764631,0.000000,0.001476,0.819366,coverage_anchor
66,95.807079,0.001894,0.723709,0.000000,0.001894,0.768346,coverage_anchor
67,96.056323,0.001736,0.771304,0.000000,0.001736,0.827685,coverage_anchor
68,96.374833,0.001740,0.810158,0.000000,0.001740,0.876126,coverage_anchor
70,96.871301,0.001818,0.615284,0.000000,0.001818,0.633165,coverage_anchor
71,96.911752,0.001683,0.718184,0.000000,0.001683,0.761457,coverage_anchor
