id,hz,wood_participation,uniqueness,tag1_ratio,tag3_ratio,Q_mmr_base,selection_type
244,266.773862,0.001123,0.816820,0.000000,0.001123,0.451573,primary
245,267.357804,0.001093,0.748049,0.000000,0.001093,0.408169,primary
246,267.771300,0.001025,0.703221,0.000000,0.001025,0.378543,primary
247,268.285308,0.001052,0.722985,0.000000,0.001052,0.391510,primary
248,268.754228,0.000972,0.738238,0.000000,0.000972,0.398720,primary
249,269.182293,0.001089,0.753569,0.000000,0.001089,0.411482,primary
250,269.537038,0.001067,0.756783,0.000000,0.001067,0.412852,primary
251,269.817674,0.001019,0.755962,0.000000,0.001019,0.411002,primary
253,283.749377,0.000983,0.756921,0.000000,0.000983,0.410598,primary
254,284.501193,0.001061,0.708864,0.000000,0.001061,0.383033,primary
256,285.389471,0.000938,0.816679,0.000000,0.000938,0.446301,primary
257,285.665347,0.000924,0.790007,0.000000,0.000924,0.429419,primary
259,286.771523,0.001055,0.774653,0.000000,0.001055,0.423582,primary
261,287.651083,0.000935,0.725657,0.000000,0.000935,0.389899,primary
262,287.905307,0.001120,0.804935,0.000000,0.001120,0.444122,primary
264,292.160370,0.001035,0.780812,0.000000,0.001035,0.426818,primary
265,293.734228,0.001054,0.733207,0.000000,0.001054,0.397903,primary
267,296.162862,0.000953,0.727530,0.000000,0.000953,0.391586,primary
269,300.716816,0.001131,0.772223,0.000000,0.001131,0.424181,primary
270,301.874267,0.001102,0.800507,0.000000,0.001102,0.440898,primary
271,303.021100,0.001117,0.701244,0.000000,0.001117,0.379892,primary
273,306.499221,0.001115,0.740202,0.000000,0.001115,0.403935,primary
274,307.763723,0.001123,0.702849,0.000000,0.001123,0.381057,primary
275,308.880337,0.001042,0.705608,0.000000,0.001042,0.380496,primary
276,310.342094,0.001186,0.778638,0.000000,0.001186,0.429700,primary
278,313.717796,0.001291,0.690544,0.000000,0.001291,0.378125,primary
279,314.845420,0.001175,0.667183,0.000000,0.001175,0.360421,primary
283,319.180873,0.001322,0.801542,0.000000,0.001322,0.447660,primary
284,320.596279,0.001259,0.771359,0.000000,0.001259,0.427230,primary
294,324.959433,0.000843,0.655613,0.000000,0.000843,0.344017,primary
291,328.304596,0.000917,0.719503,0.000000,0.000917,0.385590,primary
292,329.293520,0.000822,0.723322,0.000000,0.000822,0.385319,primary
297,331.967575,0.001107,0.817570,0.000000,0.001107,0.451572,primary
298,332.452412,0.000786,0.823749,0.000000,0.000786,0.446436,primary
306,338.077665,0.000714,0.662605,0.000000,0.000714,0.344726,primary
307,339.891883,0.000880,0.715457,0.000000,0.000880,0.382076,primary
316,344.495680,0.000942,0.835208,0.000000,0.000942,0.457894,primary
319,346.727374,0.000906,0.876082,0.000000,0.000906,0.482167,primary
320,348.713599,0.000623,0.792364,0.000000,0.000623,0.422476,primary
326,349.718241,0.000684,0.761099,0.000000,0.000684,0.404830,primary
329,354.220897,0.000587,0.618481,0.000000,0.000587,0.313887,primary
332,361.669107,0.000667,0.411158,0.000000,0.000667,0.187852,primary
334,367.068919,0.000836,0.598333,0.000000,0.000836,0.308376,primary
339,378.956760,0.001931,0.711670,0.000000,0.001931,0.409054,primary
341,394.560858,0.000694,0.487897,0.000000,0.000694,0.236061,primary
