id,hz,wood_participation,uniqueness,tag1_ratio,tag3_ratio,Q_mmr_base,selection_type
82,80.024288,0.001893,0.815895,0.000000,0.001893,0.795092,coverage_anchor
83,80.093846,0.001759,0.803535,0.000000,0.001759,0.781335,coverage_anchor
84,80.104534,0.002039,0.796233,0.000000,0.002039,0.773208,coverage_anchor
85,80.170542,0.001956,0.832668,0.000000,0.001956,0.813760,coverage_anchor
86,80.426852,0.001941,0.770008,0.000000,0.001941,0.744020,coverage_anchor
0,80.811962,0.001753,1.000000,0.000000,0.001753,1.000000,coverage_anchor
90,80.893578,0.001863,0.762531,0.000000,0.001863,0.735699,coverage_anchor
18,84.542821,0.001865,0.885532,0.000000,0.001865,0.872598,coverage_anchor
24,85.102122,0.001995,0.800021,0.000000,0.001995,0.777424,coverage_anchor
25,85.435630,0.001756,0.836866,0.000000,0.001756,0.818433,coverage_anchor
26,85.613780,0.001779,0.892841,0.000000,0.001779,0.880732,coverage_anchor
27,85.815342,0.001578,0.869297,0.000000,0.001578,0.854528,coverage_anchor
28,85.825723,0.001772,0.812245,0.000000,0.001772,0.791029,coverage_anchor
29,85.946129,0.001791,0.860043,0.000000,0.001791,0.844229,coverage_anchor
30,86.010690,0.001855,0.797336,0.000000,0.001855,0.774436,coverage_anchor
31,86.044930,0.001697,0.770054,0.000000,0.001697,0.744071,coverage_anchor
32,86.074948,0.001754,0.786548,0.000000,0.001754,0.762429,coverage_anchor
33,86.240101,0.001794,0.883646,0.000000,0.001794,0.870498,coverage_anchor
34,86.323934,0.001928,0.840634,0.000000,0.001928,0.822627,coverage_anchor
37,87.343906,0.001824,0.868179,0.000000,0.001824,0.853284,coverage_anchor
49,88.882849,0.001838,0.759798,0.000000,0.001838,0.732656,coverage_anchor
147,93.414312,0.001673,0.782106,0.000000,0.001673,0.757485,coverage_anchor
153,94.284273,0.001581,0.793628,0.000000,0.001581,0.770309,coverage_anchor
162,95.428107,0.001823,0.777211,0.000000,0.001823,0.752037,coverage_anchor
163,95.598371,0.001464,0.837706,0.000000,0.001464,0.819368,coverage_anchor
165,95.696690,0.001444,0.784706,0.000000,0.001444,0.760379,coverage_anchor
167,96.093945,0.001459,0.775854,0.000000,0.001459,0.750526,coverage_anchor
168,96.109646,0.001758,0.784859,0.000000,0.001758,0.760549,coverage_anchor
171,96.230925,0.001609,0.761576,0.000000,0.001609,0.734635,coverage_anchor
172,96.283739,0.001770,0.783516,0.000000,0.001770,0.759054,coverage_anchor
